Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drib_Tkl,Drib_Att,Drib_Tkl%,Drib_Past,Press,Press_Succ,Press_%,Press_Def 3rd,Press_Mid 3rd,Press_Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,1.86,1.27,0.59,0.78,0.49,0.49,1.86,26.3,1.37,17.1,3.92,23.0,6.57,6.27,4.22,1.47,0.00,0.00,1.47,1.57,3.43,0.49,0.00,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,2.00,1.00,1.40,0.60,0.00,0.40,1.80,22.2,1.40,25.2,5.60,22.2,9.20,10.6,5.40,2.80,0.40,0.00,2.40,1.20,3.20,1.60,0.00,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,2.12,2.12,1.52,0.61,0.00,0.30,1.21,25.0,0.91,11.2,5.45,48.6,7.27,3.33,0.61,1.82,0.91,0.00,0.91,0.30,2.42,5.15,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,30.0,0.00,0.0,0.00,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,0.71,0.54,0.18,0.18,0.36,0.00,2.68,0.0,2.68,18.2,3.57,19.6,5.00,8.57,4.64,1.25,0.18,0.00,1.07,0.18,0.89,0.54,0.00,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,1.69,0.90,0.67,0.79,0.22,0.11,0.79,14.3,0.67,12.5,3.48,27.9,4.04,6.07,2.36,1.12,0.34,0.00,0.79,0.56,2.25,1.80,0.00,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,3.21,2.12,2.26,0.66,0.29,0.95,4.12,23.0,3.18,28.9,7.55,26.2,11.2,12.3,5.36,2.52,0.18,0.04,2.34,0.91,4.12,1.06,0.04,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,1.97,1.13,1.06,0.72,0.19,0.75,1.75,42.9,1.00,14.5,5.13,35.3,7.84,5.03,1.66,2.09,0.69,0.00,1.41,0.81,2.78,4.63,0.00,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,3.19,1.60,1.94,0.76,0.49,1.67,3.40,49.0,1.74,16.4,5.14,31.4,8.75,5.76,1.88,3.47,0.69,0.00,2.78,1.39,4.58,5.21,0.00,Matches
