Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
357,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
358,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
359,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,0.14,3.15,1.23,39.1,3.13,1.23,0.04,0.11,15.7,0.00,0.00,0.00,0.38,0.38,0.12,-0.25,-0.25,Matches
360,Jo?o Pedro\Joao-Pedro,br BRA,FWMF,Watford,17,2001,0.3,0.00,3.33,0.00,0.0,3.60,0.00,0.00,,16.0,0.00,0.00,0.00,0.33,0.33,0.05,-0.33,-0.33,Matches
361,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,22.3,0.22,2.20,0.72,32.7,2.19,0.72,0.08,0.25,19.1,0.31,0.04,0.04,0.20,0.17,0.08,0.02,0.01,Matches
362,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,0.06,2.24,0.85,37.8,2.24,0.85,0.03,0.07,22.4,0.18,0.00,0.00,0.14,0.14,0.06,-0.08,-0.08,Matches
363,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,0.11,0.61,0.18,29.4,0.61,0.18,0.18,0.60,18.9,0.00,0.00,0.00,0.04,0.04,0.06,0.07,0.07,Matches
364,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,0.16,1.04,0.44,42.1,1.04,0.44,0.11,0.25,17.6,0.22,0.05,0.05,0.14,0.09,0.09,0.03,0.02,Matches
365,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,22.3,0.36,2.06,0.90,43.5,2.07,0.90,0.15,0.35,13.7,0.00,0.04,0.04,0.26,0.22,0.11,0.10,0.09,Matches
366,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
367,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
368,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,20.9,0.00,0.67,0.19,28.6,0.67,0.19,0.00,0.00,22.4,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
369,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,3.2,0.31,3.13,1.25,40.0,3.11,1.25,0.10,0.25,13.6,0.00,0.00,0.00,0.50,0.50,0.16,-0.19,-0.19,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,13.4,0.07,1.57,0.52,33.3,1.57,0.52,0.05,0.14,20.6,0.15,0.00,0.07,0.15,0.09,0.06,-0.07,-0.01,Matches
371,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
372,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.6,0.08,1.27,0.24,18.8,1.27,0.24,0.06,0.33,18.6,0.00,0.00,0.00,0.11,0.11,0.08,-0.03,-0.03,Matches
373,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,0.00,3.33,0.00,0.0,3.21,0.00,0.00,,9.7,0.00,0.00,0.00,0.17,0.17,0.03,-0.17,-0.17,Matches
374,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.4,0.03,0.99,0.25,25.8,0.99,0.25,0.03,0.13,20.3,0.00,0.00,0.00,0.04,0.04,0.04,-0.01,-0.01,Matches
375,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,32.1,0.34,2.49,1.00,40.0,2.49,1.00,0.11,0.28,14.7,0.00,0.06,0.06,0.38,0.33,0.13,-0.03,-0.05,Matches
376,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,19.1,0.47,3.25,1.31,40.3,3.24,1.31,0.15,0.36,13.2,0.00,0.00,0.00,0.43,0.43,0.13,0.04,0.04,Matches
377,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
378,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,0.00,5.00,5.00,100.0,4.09,4.09,0.00,0.00,22.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
379,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,37.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
380,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,29.4,0.58,2.86,1.29,45.2,2.86,1.29,0.13,0.29,18.4,0.54,0.20,0.27,0.59,0.38,0.13,-0.01,-0.01,Matches
382,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,30.7,0.13,1.92,0.68,35.6,1.92,0.68,0.07,0.19,18.5,0.07,0.00,0.00,0.16,0.16,0.09,-0.03,-0.03,Matches
383,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
384,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,38.0,0.03,0.79,0.24,30.0,0.79,0.24,0.03,0.11,22.6,0.00,0.00,0.00,0.03,0.03,0.04,-0.00,-0.00,Matches
385,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,34.1,0.38,2.67,0.91,34.1,2.67,0.91,0.14,0.42,14.0,0.00,0.00,0.00,0.27,0.27,0.10,0.11,0.11,Matches
386,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,25.9,0.00,0.42,0.12,27.3,0.42,0.12,0.00,0.00,26.8,0.04,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
387,Ja?ro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.5,0.00,0.35,0.00,0.0,0.35,0.00,0.00,,27.4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
388,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,14.6,0.14,1.71,0.41,24.0,1.71,0.41,0.08,0.33,23.2,0.07,0.00,0.07,0.11,0.05,0.03,0.03,0.08,Matches
389,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
390,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
391,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,34.6,0.06,0.58,0.17,30.0,0.58,0.17,0.10,0.33,17.7,0.00,0.00,0.00,0.05,0.05,0.08,0.01,0.01,Matches
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,0.13,1.73,0.40,23.1,1.73,0.40,0.08,0.33,13.5,0.00,0.00,0.00,0.28,0.28,0.16,-0.15,-0.15,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,0.11,0.87,0.33,37.5,0.87,0.33,0.13,0.33,18.8,0.00,0.00,0.00,0.04,0.04,0.04,0.07,0.07,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,0.36,2.95,1.16,39.4,2.95,1.16,0.11,0.27,16.9,0.00,0.04,0.04,0.36,0.32,0.11,0.00,-0.01,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,0.00,0.71,0.00,0.0,0.74,0.00,0.00,,5.1,0.00,0.00,0.00,0.07,0.07,0.11,-0.07,-0.07,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,0.00,0.43,0.00,0.0,0.44,0.00,0.00,,20.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,18.7,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,0.11,0.58,0.16,27.3,0.58,0.16,0.18,0.67,13.9,0.00,0.00,0.00,0.03,0.03,0.05,0.07,0.07,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,0.00,0.52,0.26,50.0,0.52,0.26,0.00,0.00,16.1,0.00,0.00,0.00,0.04,0.04,0.08,-0.04,-0.04,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,0.14,2.22,0.97,43.5,2.22,0.97,0.07,0.15,22.2,0.00,0.00,0.00,0.15,0.15,0.07,-0.01,-0.01,Matches
405,Romain Sa?ss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,0.07,0.76,0.27,34.8,0.77,0.27,0.09,0.25,12.5,0.03,0.00,0.00,0.09,0.09,0.12,-0.02,-0.02,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,0.05,0.67,0.21,30.8,0.67,0.21,0.08,0.25,17.5,0.00,0.00,0.00,0.07,0.07,0.10,-0.02,-0.02,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,0.59,4.06,1.75,43.1,4.07,1.75,0.12,0.29,14.5,0.13,0.09,0.09,0.61,0.54,0.13,-0.01,-0.04,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,0.10,1.62,0.29,17.6,1.62,0.29,0.06,0.33,10.1,0.00,0.00,0.00,0.18,0.18,0.11,-0.09,-0.09,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,0.00,0.30,0.11,37.5,0.30,0.11,0.00,0.00,8.7,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,0.00,20.0,0.00,0.0,15.00,0.00,0.00,,25.4,10.0,0.00,0.00,1.00,1.00,0.05,-1.00,-1.00,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,0.22,1.96,0.58,29.5,1.95,0.58,0.11,0.38,15.1,0.00,0.00,0.00,0.25,0.25,0.13,-0.03,-0.03,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,0.11,1.02,0.32,31.6,1.02,0.32,0.11,0.33,22.5,0.05,0.00,0.00,0.06,0.06,0.06,0.05,0.05,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,0.00,1.25,0.25,20.0,1.25,0.25,0.00,0.00,15.2,0.00,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,0.26,1.57,0.78,50.0,1.56,0.78,0.17,0.33,18.9,0.00,0.00,0.00,0.15,0.15,0.09,0.11,0.11,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,0.00,0.03,0.00,0.0,0.03,0.00,0.00,,59.0,0.03,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,0.00,0.54,0.00,0.0,0.54,0.00,0.00,,19.9,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,0.00,0.26,0.00,0.0,0.26,0.00,0.00,,15.1,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,0.48,1.90,0.48,25.0,1.95,0.49,0.25,1.00,19.5,0.00,0.00,0.00,0.29,0.29,0.14,0.19,0.19,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,0.26,1.20,0.43,35.7,1.20,0.43,0.21,0.60,9.5,0.00,0.00,0.00,0.23,0.23,0.19,0.03,0.03,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,0.00,0.52,0.26,50.0,0.52,0.26,0.00,0.00,18.6,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,0.26,1.91,0.60,31.1,1.91,0.59,0.13,0.43,25.6,0.34,0.00,0.00,0.11,0.11,0.05,0.15,0.15,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,0.00,0.59,0.15,25.0,0.59,0.15,0.00,0.00,24.4,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
425,Gylfi Sigur?sson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,0.07,1.58,0.42,26.7,1.58,0.42,0.02,0.08,20.8,0.18,0.04,0.04,0.15,0.12,0.08,-0.08,-0.08,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,0.27,2.17,0.66,30.6,2.17,0.67,0.12,0.40,14.0,0.00,0.00,0.00,0.30,0.30,0.14,-0.03,-0.03,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,0.30,2.27,0.84,37.0,2.27,0.84,0.13,0.35,14.2,0.25,0.00,0.00,0.31,0.31,0.14,-0.01,-0.01,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1996,2.7,0.00,0.37,0.00,0.0,0.37,0.00,0.00,,15.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,0.07,0.51,0.15,28.6,0.51,0.15,0.14,0.50,14.8,0.00,0.00,0.00,0.09,0.09,0.17,-0.01,-0.01,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,0.00,1.14,0.00,0.0,1.15,0.00,0.00,,21.7,0.00,0.00,0.00,0.07,0.07,0.05,-0.07,-0.07,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,0.00,0.18,0.04,25.0,0.18,0.04,0.00,0.00,17.9,0.00,0.00,0.00,0.03,0.03,0.14,-0.03,-0.03,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,0.30,1.25,0.60,47.6,1.25,0.60,0.24,0.50,16.3,0.00,0.00,0.00,0.17,0.17,0.13,0.13,0.13,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,0.36,0.36,0.36,100.0,0.36,0.36,1.00,1.00,24.0,0.00,0.00,0.00,0.00,0.00,0.02,0.36,0.36,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,0.00,0.69,0.28,40.0,0.69,0.28,0.00,0.00,19.6,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,0.16,1.91,0.44,22.9,1.91,0.44,0.09,0.38,13.8,0.00,0.00,0.00,0.20,0.20,0.11,-0.04,-0.04,Matches
438,Tomáš Souèek\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,0.26,1.64,0.60,36.8,1.64,0.61,0.16,0.43,12.1,0.00,0.00,0.00,0.19,0.19,0.12,0.07,0.07,Matches
439,Ça?lar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,0.03,0.59,0.21,35.0,0.59,0.21,0.05,0.14,9.0,0.00,0.00,0.00,0.07,0.07,0.11,-0.04,-0.04,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,2.00,4.00,2.00,50.0,3.83,1.91,0.50,1.00,8.5,0.00,0.00,0.00,1.20,1.20,0.30,0.80,0.80,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,0.00,0.29,0.12,40.0,0.29,0.12,0.00,0.00,11.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,0.38,2.03,0.76,37.5,2.02,0.76,0.13,0.33,19.8,0.38,0.13,0.13,0.20,0.10,0.05,0.18,0.15,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,0.00,0.64,0.07,11.1,0.64,0.07,0.00,0.00,24.7,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,0.04,0.22,0.04,16.7,0.22,0.04,0.17,1.00,8.6,0.00,0.00,0.00,0.03,0.03,0.12,0.01,0.01,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,0.68,3.25,1.22,37.5,3.26,1.22,0.21,0.56,13.3,0.03,0.00,0.07,0.58,0.51,0.16,0.10,0.17,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,0.05,0.59,0.11,18.2,0.59,0.11,0.09,0.50,18.3,0.00,0.00,0.00,0.03,0.03,0.05,0.02,0.02,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,0.00,1.45,0.38,26.3,1.45,0.38,0.00,0.00,17.1,0.00,0.00,0.00,0.11,0.11,0.08,-0.11,-0.11,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,0.00,0.48,0.08,16.7,0.48,0.08,0.00,0.00,7.9,0.00,0.00,0.00,0.05,0.05,0.10,-0.05,-0.05,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,0.00,1.25,1.25,100.0,1.29,1.29,0.00,0.00,11.0,0.00,0.00,0.00,0.13,0.13,0.07,-0.13,-0.13,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,0.00,0.38,0.00,0.0,0.38,0.00,0.00,,24.2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,0.00,6.67,0.00,0.0,6.67,0.00,0.00,,11.6,0.00,0.00,0.00,1.33,1.33,0.20,-1.33,-1.33,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,0.00,0.52,0.17,33.3,0.51,0.17,0.00,0.00,27.1,0.00,0.00,0.00,0.02,0.02,0.02,-0.02,-0.02,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,0.04,0.27,0.16,57.1,0.27,0.16,0.14,0.25,16.4,0.04,0.00,0.00,0.02,0.02,0.07,0.02,0.02,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,0.05,0.53,0.11,20.0,0.53,0.11,0.10,0.50,8.2,0.00,0.00,0.00,0.06,0.06,0.12,-0.01,-0.01,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,0.00,0.05,0.00,0.0,0.05,0.00,0.00,,23.6,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,0.00,0.25,0.00,0.0,0.25,0.00,0.00,,15.1,0.00,0.00,0.00,0.02,0.02,0.10,-0.02,-0.02,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,0,1,1,100.0,30.00,30.00,0.00,0.00,18.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,0.04,0.88,0.12,13.0,0.89,0.12,0.04,0.33,23.2,0.00,0.00,0.00,0.03,0.03,0.04,0.01,0.01,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,0.10,1.72,0.41,24.1,1.72,0.41,0.06,0.23,22.6,0.00,0.00,0.00,0.11,0.11,0.06,-0.01,-0.01,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,0.09,0.55,0.18,33.3,0.55,0.18,0.17,0.50,19.8,0.00,0.00,0.00,0.03,0.03,0.04,0.06,0.06,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,0.06,0.51,0.11,22.2,0.51,0.11,0.11,0.50,7.9,0.00,0.00,0.00,0.07,0.07,0.13,-0.01,-0.01,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,0.07,0.49,0.21,42.9,0.49,0.21,0.14,0.33,13.6,0.00,0.00,0.00,0.04,0.04,0.08,0.03,0.03,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,0.06,1.25,0.36,28.6,1.25,0.36,0.05,0.17,17.5,0.00,0.00,0.00,0.10,0.10,0.08,-0.04,-0.04,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,0.50,2.00,1.00,50.0,2.03,1.02,0.25,0.50,11.9,0.00,0.00,0.00,0.35,0.35,0.18,0.15,0.15,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,0.31,3.44,0.94,27.3,3.40,0.93,0.09,0.33,13.7,0.00,0.00,0.00,0.22,0.22,0.07,0.09,0.09,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,0.07,0.83,0.35,41.7,0.83,0.35,0.08,0.20,24.9,0.07,0.00,0.00,0.03,0.03,0.03,0.04,0.04,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,0.14,1.49,0.42,27.9,1.49,0.41,0.09,0.33,19.6,0.00,0.00,0.00,0.12,0.12,0.08,0.02,0.02,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,0.28,2.30,0.78,34.0,2.31,0.78,0.12,0.35,17.2,0.14,0.00,0.00,0.18,0.18,0.08,0.10,0.10,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,0.22,1.88,0.58,31.0,1.88,0.58,0.12,0.38,16.0,0.00,0.00,0.00,0.21,0.21,0.11,0.01,0.01,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,0.00,0.87,0.16,18.2,0.88,0.16,0.00,0.00,17.3,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
