Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,0.00,0.39,0.15,37.5,0.39,0.15,0.00,0.00,16.3,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,0.21,2.71,0.93,34.2,2.72,0.93,0.08,0.23,15.9,0.00,0.00,0.00,0.23,0.23,0.08,-0.01,-0.01,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,0.00,0.60,0.13,22.2,0.60,0.13,0.00,0.00,23.0,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,0.04,0.48,0.07,15.4,0.48,0.07,0.08,0.50,12.1,0.00,0.00,0.00,0.03,0.03,0.06,0.01,0.01,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,0.00,0.62,0.17,27.8,0.62,0.17,0.00,0.00,13.7,0.00,0.00,0.00,0.06,0.06,0.10,-0.06,-0.06,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,0.10,0.59,0.17,27.8,0.59,0.17,0.17,0.60,20.1,0.23,0.00,0.00,0.04,0.04,0.07,0.06,0.06,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,0.61,3.33,0.91,27.3,3.33,0.91,0.18,0.67,12.5,0.00,0.00,0.00,0.73,0.73,0.21,-0.12,-0.12,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0.00,1.43,0.00,0.0,1.34,0.00,0.00,,7.0,0.00,0.00,0.00,0.29,0.29,0.18,-0.29,-0.29,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,0.00,0.57,0.14,25.0,0.57,0.14,0.00,0.00,8.7,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,9.0,0.00,0.00,0.00,0.03,0.03,0.11,-0.03,-0.03,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,0.00,0.44,0.06,14.3,0.44,0.06,0.00,0.00,23.1,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,0.04,0.76,0.22,29.4,0.75,0.22,0.06,0.20,15.9,0.00,0.00,0.00,0.09,0.09,0.12,-0.04,-0.04,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,0.00,2.62,0.82,31.3,2.63,0.82,0.00,0.00,9.4,0.00,0.00,0.00,0.31,0.31,0.12,-0.31,-0.31,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,0.08,0.88,0.27,30.4,0.88,0.27,0.09,0.29,9.2,0.00,0.00,0.00,0.09,0.09,0.10,-0.01,-0.01,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,0.42,3.10,0.87,28.1,3.10,0.87,0.11,0.41,20.8,0.35,0.06,0.06,0.25,0.20,0.06,0.17,0.16,Matches
