Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,27.1,24.2,2.84,0.39,0.10,4.61,2.16,3.04,2.45,1.96,0.10,0.00,15.4,3.73,7.94,20.0,5.78,0.88,0.00,0.10,18.4,0.00,0.78,0.20,1.57,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,33.4,31.6,1.80,0.60,0.00,9.80,0.80,1.60,0.80,0.80,0.00,0.00,17.4,5.80,10.2,23.8,4.20,2.80,0.40,0.00,21.6,0.20,1.00,1.20,0.80,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,64.2,62.4,1.82,1.21,0.00,2.73,1.52,0.00,0.00,0.00,0.00,0.00,52.4,3.03,8.79,44.8,16.7,2.12,0.00,0.00,56.7,0.00,2.42,0.00,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,33.8,24.6,9.23,2.05,0.00,5.13,1.28,0.00,0.00,0.00,0.00,0.00,17.7,3.85,12.3,2.82,26.9,0.00,0.00,3.33,25.9,0.00,1.03,0.51,0.00,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,20.0,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,10.0,0.00,0.00,10.0,20.0,0.00,0.00,0.00,0.00,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,32.0,28.0,3.93,0.54,0.18,3.75,1.25,2.50,2.14,1.07,0.71,0.00,16.6,8.75,6.61,23.6,7.86,0.36,0.18,0.00,21.6,0.18,0.89,0.36,1.43,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,38.2,37.3,0.90,0.45,0.00,5.39,0.67,0.22,0.00,0.00,0.00,0.00,23.3,6.29,8.65,4.61,27.6,3.48,0.34,0.22,31.0,0.34,0.79,0.34,0.34,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,56.0,49.0,6.97,2.41,0.58,13.8,3.18,1.57,3.94,1.68,1.82,0.36,37.9,7.37,10.7,7.26,46.4,1.06,0.62,0.07,41.8,0.29,0.99,1.35,1.90,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,57.5,48.9,8.63,0.38,0.03,10.8,0.66,1.25,0.03,0.00,0.00,0.03,31.2,11.5,14.8,37.8,5.06,3.47,8.22,0.06,43.4,0.13,1.34,0.69,1.94,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,53.0,43.3,9.65,0.76,0.00,10.1,0.14,0.21,0.00,0.00,0.00,0.00,28.2,13.8,11.0,7.43,31.3,3.75,8.89,0.35,43.4,0.14,1.18,0.49,1.11,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,33.0,26.8,6.20,0.60,0.00,3.00,0.60,0.00,0.00,0.00,0.00,0.00,15.6,1.20,16.2,6.00,22.4,0.00,0.00,3.00,24.2,0.00,0.40,0.00,0.00,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,39.5,37.9,1.62,1.49,0.00,6.51,1.08,0.00,0.00,0.00,0.00,0.00,27.3,4.77,7.43,3.86,31.0,2.61,0.12,0.29,34.3,0.00,0.83,0.12,0.37,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,20.3,19.5,0.89,0.10,0.10,7.36,0.24,0.65,0.00,0.00,0.00,0.00,9.32,6.10,4.93,2.05,11.1,2.05,0.03,0.79,13.5,0.10,0.31,0.24,0.86,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,Matches
73,Jo?o Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,85.6,77.9,7.69,0.45,0.30,10.5,2.01,2.69,0.07,0.00,0.07,0.00,61.6,14.1,9.93,10.6,64.8,2.09,7.16,0.22,75.2,0.30,1.04,1.19,1.57,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,39.9,38.6,1.34,0.47,0.04,9.35,1.05,0.58,0.14,0.00,0.04,0.00,29.5,6.53,3.86,3.36,34.3,1.08,0.54,0.32,31.9,0.22,1.26,0.83,1.37,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,49.0,46.2,2.81,1.30,0.14,6.34,2.60,0.48,0.24,0.14,0.10,0.00,28.7,8.39,11.8,7.26,36.6,3.56,0.10,0.31,39.7,0.10,0.58,0.51,0.68,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,29.6,28.9,0.71,0.00,0.14,14.6,1.00,0.86,0.00,0.00,0.00,0.00,11.1,9.00,9.43,11.6,6.43,1.86,0.00,1.57,19.1,0.14,1.00,0.29,0.57,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,45.0,35.3,9.75,0.25,0.00,8.32,0.56,1.34,0.06,0.03,0.00,0.00,25.6,12.6,6.82,10.4,22.6,1.62,9.44,0.16,36.7,0.09,0.69,0.72,1.46,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,31.3,30.5,0.83,0.65,0.00,5.00,1.16,0.11,0.00,0.00,0.00,0.00,18.9,4.35,8.08,7.10,19.9,2.72,0.18,0.11,26.1,0.07,0.51,0.25,0.18,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,69.2,63.8,5.43,1.86,0.21,10.6,2.87,1.17,3.35,0.64,1.01,0.48,50.5,7.93,10.8,3.88,63.7,0.85,0.21,0.16,58.3,0.16,0.90,1.01,1.91,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,34.8,32.5,2.23,0.68,0.19,8.64,1.46,0.39,1.26,0.19,0.19,0.49,20.5,7.38,6.89,5.92,25.1,2.14,0.19,0.00,25.5,0.10,0.68,0.58,1.75,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,70.9,63.4,7.54,0.66,0.00,13.0,1.23,2.21,0.00,0.00,0.00,0.00,48.7,11.8,10.4,4.43,56.1,2.21,6.80,0.08,57.5,0.08,0.82,0.74,2.54,Matches
